CODIGO;CTA_AHORRO;SALDO_AHORRO;CTA_PLAZO;SALDO_PLAZO;CTA_FONDO;SALDO_FONDO;CTA_CTS;SALDO_CTS;CTA_PRESTAMO;SALDO_PRESTAMO;CTA_HIPOTECARIO;SALDO_HIPOTECARIO;CTA_TARJETA;SALDO_TARJETA
669235666346;0;0;0;0;0;0;0;0;0;0;0;0;1;5704
669235666496;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669235667927;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235668778;1;0;0;0;1;14087;0;0;0;0;0;0;0;0
669235669839;1;126;0;0;0;0;1;0;0;0;0;0;0;0
669235671771;1;777;0;0;0;0;0;0;0;0;0;0;0;0
669235672062;1;6;0;0;0;0;0;0;0;0;0;0;0;0
669235650190;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235651531;0;0;0;0;0;0;0;0;0;0;0;0;1;1758
669235651651;2;25;0;0;0;0;2;94;0;0;0;0;0;0
669235656976;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236155175;1;17256;0;0;0;0;0;0;0;0;0;0;0;0
169236156646;1;779;0;0;0;0;0;0;0;0;0;0;0;0
169236160130;1;15;0;0;0;0;0;0;0;0;0;0;0;0
169236162102;1;86;0;0;0;0;0;0;0;0;0;0;0;0
